[0917/125842.168:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x2640040dc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/125842.178:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x2640040dc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/125907.841:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1f9c001f6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/125907.911:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1f9c001f6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/125907.927:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1f9c001f6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/125907.944:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1f9c001f6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/130927.635:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x640c001f2000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/130927.699:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x640c001f2000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/130927.719:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x640c001f2000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/130927.734:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x640c001f2000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/130955.362:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x57bc001ed800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/130955.435:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x57bc001ed800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/130955.452:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x57bc001ed800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/130955.467:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x57bc001ed800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
